method,scenario,trial,execution_mode,environment,success,reason,planning_time_ms,expanded_nodes,path_length_m,waypoints,min_clearance_m,clearance_metric,sharp_direction_changes,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,terminal_yaw_error_rad,parameters
dijkstra_pp_2602_hotel,gazebo_map2_straight,1,ros_live,gazebo,1,,16.972175,1137,1.000000,21,2.400000,8_connected_chamfer_approx_m,0,-0.000000,-0.000000,0.000045,1.000000,0.000000,0.000000,0.000000,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
hybrid_astar_pp_2602_hotel,gazebo_map2_straight,1,ros_live,gazebo,1,,0.254225,6,1.000000,6,2.400000,8_connected_chamfer_approx_m,0,-0.000000,-0.000000,0.000227,1.000000,0.000000,0.000000,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,gazebo_map2_straight,2,ros_live,gazebo,1,,0.369194,6,1.000000,6,2.400000,8_connected_chamfer_approx_m,0,-0.000000,-0.000000,0.000275,1.000000,0.000000,0.000000,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
hybrid_astar_pp_2602_hotel,gazebo_map2_straight,3,ros_live,gazebo,1,,0.181987,6,1.000000,6,2.400000,8_connected_chamfer_approx_m,0,-0.000000,-0.000000,0.000292,1.000000,0.000000,0.000000,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,gazebo_map2_straight_tracking,1,ros_live,gazebo,1,,17.010408,1137,1.000000,21,2.400000,8_connected_chamfer_approx_m,0,-0.000000,-0.000000,0.000306,1.000000,0.000000,0.000000,0.000000,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
dijkstra_pp_2602_hotel,gazebo_map2_straight_tracking,2,ros_live,gazebo,1,,17.942224,1137,1.000000,21,2.400000,8_connected_chamfer_approx_m,0,-0.000000,-0.000000,0.000155,1.000000,0.000000,0.000000,0.000000,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
hybrid_astar_pp_2602_hotel,gazebo_map2_straight_repeated,1,ros_live,gazebo,1,,0.656631,20,1.000000,6,2.500000,8_connected_chamfer_approx_m,0,0.879057,0.008187,0.018982,1.862800,0.014400,0.000000,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,gazebo_map2_straight_repeated,1,ros_live,gazebo,1,,17.142802,1025,0.950000,20,2.500000,8_connected_chamfer_approx_m,0,0.879057,0.008187,0.018982,1.862800,0.014400,0.000000,0.000000,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
hybrid_astar_pp_2602_hotel,gazebo_map2_straight_repeated,2,ros_live,gazebo,1,,0.632227,20,1.000000,6,2.500000,8_connected_chamfer_approx_m,0,0.879057,0.008187,0.018923,1.862800,0.014400,0.000000,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""base_frame"": ""base_link"", ""direction_change_penalty"": 0.25, ""environment"": ""gazebo"", ""global_frame"": ""map"", ""goal_position_tolerance"": 0.15, ""goal_yaw_tolerance"": 0.3490658503988659, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""max_iterations"": 100000, ""motion_step"": 0.2, ""occupied_threshold"": 65, ""reverse_penalty"": 1.4, ""rotation_penalty"": 0.12, ""start_type_description_service"": true, ""theta_resolution"": 0.2617993877991494, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""turn_penalty"": 0.1, ""use_sim_time"": false, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,gazebo_map2_straight_repeated,2,ros_live,gazebo,1,,17.344945,1025,0.950000,20,2.500000,8_connected_chamfer_approx_m,0,0.879057,0.008187,0.018923,1.862800,0.014400,0.000000,0.000000,"{""base_frame"": ""base_link"", ""environment"": ""gazebo"", ""global_frame"": ""map"", ""inflate_radius"": 0.25, ""occupied_threshold"": 65, ""prevent_corner_cutting"": true, ""start_type_description_service"": true, ""traversal_cost_weight"": 0.0, ""treat_unknown_as_obstacle"": true, ""use_8_connected"": true, ""use_sim_time"": false}"
