method,scenario,trial,run_id,execution_mode,environment,timestamp_s,x_robot,y_robot,yaw_robot,x_reference,y_reference,yaw_reference,reference_index,cross_track_error,heading_error,linear_velocity_command,angular_velocity_command,distance_to_goal,saturated_v,saturated_omega
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401918.960013,-0.000000,-0.000000,0.000306,0.999000,0.020000,0.000000,20,0.019694,0.000306,0.437088,0.007284,0.999200,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.008776,0.001457,0.000000,0.000309,0.999000,0.020000,0.000000,20,0.019691,0.000309,0.437090,0.010934,0.997744,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.059231,0.004360,0.000001,0.000587,0.999000,0.020000,0.000000,20,0.019415,0.000587,0.437266,0.012679,0.994841,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.108786,0.014570,0.000007,0.001346,0.999000,0.020000,0.000000,20,0.018668,0.001346,0.437742,0.013345,0.984634,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.159204,0.021815,0.000014,0.001767,0.999000,0.020000,0.000000,20,0.018259,0.001767,0.438004,0.013574,0.977390,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.208714,0.040805,0.000037,0.002465,0.999000,0.020000,0.000000,20,0.017601,0.002465,0.438425,0.013562,0.958403,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.259270,0.052392,0.000070,0.003100,0.999000,0.020000,0.000000,20,0.016995,0.003100,0.438813,0.013399,0.946818,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.309131,0.065689,0.000105,0.003557,0.999000,0.020000,0.000000,20,0.016576,0.003557,0.439083,0.013237,0.933523,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.359351,0.090538,0.000192,0.004433,0.999000,0.020000,0.000000,20,0.015781,0.004433,0.439594,0.012996,0.908678,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.408926,0.106331,0.000255,0.004885,0.999000,0.020000,0.000000,20,0.015384,0.004885,0.439850,0.012811,0.892888,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.459079,0.136064,0.000399,0.005737,0.999000,0.020000,0.000000,20,0.014650,0.005737,0.440324,0.012596,0.863159,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.508996,0.151096,0.000483,0.006167,0.999000,0.020000,0.000000,20,0.014288,0.006167,0.440558,0.012427,0.848128,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.559033,0.180215,0.000666,0.006997,0.999000,0.020000,0.000000,20,0.013605,0.006997,0.441000,0.012222,0.819014,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.608894,0.195167,0.000769,0.007419,0.999000,0.020000,0.000000,20,0.013267,0.007419,0.441220,0.012060,0.804063,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.659374,0.224221,0.000989,0.008225,0.999000,0.020000,0.000000,20,0.012638,0.008225,0.441628,0.011867,0.775012,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.709484,0.239184,0.001112,0.008639,0.999000,0.020000,0.000000,20,0.012324,0.008639,0.441832,0.011714,0.760051,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.758712,0.268261,0.001368,0.009415,0.999000,0.020000,0.000000,20,0.011751,0.009415,0.442205,0.011539,0.730977,0,0
pure_pursuit_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788401919.809198,0.283246,0.001509,0.009812,0.999000,0.020000,0.000000,20,0.011467,0.009812,0.442391,0.011402,0.715993,0,0
