method,scenario,trial,execution_mode,environment,success,reason,planning_time_ms,expanded_nodes,path_length_m,waypoints,min_clearance_m,clearance_metric,sharp_direction_changes,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,terminal_yaw_error_rad,parameters
dijkstra_pp_2602_hotel,open,1,offline_grid_benchmark,offline,1,,154.341219,10563,5.648528,109,0.594975,8_connected_chamfer_approx_m,1,3.223000,2.549000,0.000000,2.623000,7.949000,1.570796,0.785398,"{""inflate_radius"": 0.25, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""unknown_as_obstacle"": true, ""use_8_connected"": true}"
hybrid_astar_pp_2602_hotel,open,1,offline_grid_benchmark,offline,1,,27.211876,1037,5.398296,31,0.594975,8_connected_chamfer_approx_m,0,3.223000,2.549000,0.000000,2.623000,7.949000,1.570796,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""motion_step"": 0.2, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""theta_resolution_rad"": 0.5235987755982988, ""unknown_as_obstacle"": true, ""use_8_connected"": true, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,open,2,offline_grid_benchmark,offline,1,,152.596912,10563,5.648528,109,0.594975,8_connected_chamfer_approx_m,1,3.223000,2.549000,0.000000,2.623000,7.949000,1.570796,0.785398,"{""inflate_radius"": 0.25, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""unknown_as_obstacle"": true, ""use_8_connected"": true}"
hybrid_astar_pp_2602_hotel,open,2,offline_grid_benchmark,offline,1,,28.702220,1037,5.398296,31,0.594975,8_connected_chamfer_approx_m,0,3.223000,2.549000,0.000000,2.623000,7.949000,1.570796,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""motion_step"": 0.2, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""theta_resolution_rad"": 0.5235987755982988, ""unknown_as_obstacle"": true, ""use_8_connected"": true, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,open,3,offline_grid_benchmark,offline,1,,153.079079,10563,5.648528,109,0.594975,8_connected_chamfer_approx_m,1,3.223000,2.549000,0.000000,2.623000,7.949000,1.570796,0.785398,"{""inflate_radius"": 0.25, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""unknown_as_obstacle"": true, ""use_8_connected"": true}"
hybrid_astar_pp_2602_hotel,open,3,offline_grid_benchmark,offline,1,,26.196455,1037,5.398296,31,0.594975,8_connected_chamfer_approx_m,0,3.223000,2.549000,0.000000,2.623000,7.949000,1.570796,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""motion_step"": 0.2, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""theta_resolution_rad"": 0.5235987755982988, ""unknown_as_obstacle"": true, ""use_8_connected"": true, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,obstacle_manoeuvre,1,offline_grid_benchmark,offline,1,,214.565418,14910,8.294113,147,0.282843,8_connected_chamfer_approx_m,19,11.623000,1.349000,0.000000,18.823000,0.749000,1.570796,0.785398,"{""inflate_radius"": 0.25, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""unknown_as_obstacle"": true, ""use_8_connected"": true}"
hybrid_astar_pp_2602_hotel,obstacle_manoeuvre,1,offline_grid_benchmark,offline,1,,973.157096,34842,7.797443,42,0.262132,8_connected_chamfer_approx_m,1,11.623000,1.349000,0.000000,18.823000,0.749000,1.570796,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""motion_step"": 0.2, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""theta_resolution_rad"": 0.5235987755982988, ""unknown_as_obstacle"": true, ""use_8_connected"": true, ""xy_resolution"": 0.05}"
dijkstra_pp_2602_hotel,obstacle_manoeuvre,2,offline_grid_benchmark,offline,1,,215.439613,14910,8.294113,147,0.282843,8_connected_chamfer_approx_m,19,11.623000,1.349000,0.000000,18.823000,0.749000,1.570796,0.785398,"{""inflate_radius"": 0.25, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""unknown_as_obstacle"": true, ""use_8_connected"": true}"
hybrid_astar_pp_2602_hotel,obstacle_manoeuvre,2,offline_grid_benchmark,offline,1,,956.480206,34842,7.797443,42,0.262132,8_connected_chamfer_approx_m,1,11.623000,1.349000,0.000000,18.823000,0.749000,1.570796,0.000000,"{""allow_in_place_rotation"": true, ""allow_reverse"": false, ""heuristic_weight"": 1.0, ""inflate_radius"": 0.25, ""max_curvature"": 1.6, ""motion_step"": 0.2, ""prevent_corner_cutting"": true, ""resolution_m"": 0.05, ""theta_resolution_rad"": 0.5235987755982988, ""unknown_as_obstacle"": true, ""use_8_connected"": true, ""xy_resolution"": 0.05}"
