method,scenario,trial,run_id,execution_mode,environment,success,reason,samples,cte_rmse_m,cte_mae_m,cte_max_m,heading_rmse_rad,completion_time_s,final_goal_error_m,progress_percent,omega_saturations,mean_abs_delta_omega_rad_s,mean_control_compute_us,collision_metric
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,336,0.272169,0.169619,0.865556,0.344863,13.400000,0.238263,100.000,335,0.001461,7.753515,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,straight_open,2,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,336,0.272169,0.169619,0.865556,0.344863,13.400000,0.238263,100.000,335,0.001461,7.550250,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,straight_open,3,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,336,0.272169,0.169619,0.865556,0.344863,13.400000,0.238263,100.000,335,0.001461,7.510202,occupancy_grid_checked
lqr_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,269,0.056855,0.035384,0.204077,0.097990,10.720000,0.236801,100.000,3,0.019145,2760.484249,occupancy_grid_checked
lqr_pt_2602_hotel,straight_open,2,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,269,0.056855,0.035384,0.204077,0.097990,10.720000,0.236801,100.000,3,0.019145,2754.149684,occupancy_grid_checked
lqr_pt_2602_hotel,straight_open,3,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,269,0.056855,0.035384,0.204077,0.097990,10.720000,0.236801,100.000,3,0.019145,2784.842234,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_obstacle,1,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,128,0.457987,0.441493,0.666284,0.435044,5.080000,5.500029,39.726,128,0.002980,17.017461,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_obstacle,2,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,128,0.457987,0.441493,0.666284,0.435044,5.080000,5.500029,39.726,128,0.002980,16.336828,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_obstacle,3,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,128,0.457987,0.441493,0.666284,0.435044,5.080000,5.500029,39.726,128,0.002980,16.284391,occupancy_grid_checked
lqr_pt_2602_hotel,curves_obstacle,1,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,95,0.153352,0.135176,0.222989,0.267329,3.760000,5.436716,26.712,16,0.317072,2790.993958,occupancy_grid_checked
lqr_pt_2602_hotel,curves_obstacle,2,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,95,0.153352,0.135176,0.222989,0.267329,3.760000,5.436716,26.712,16,0.317072,2791.357653,occupancy_grid_checked
lqr_pt_2602_hotel,curves_obstacle,3,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,95,0.153352,0.135176,0.222989,0.267329,3.760000,5.436716,26.712,16,0.317072,2774.208389,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,narrow,1,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,649,0.358293,0.290496,0.861963,0.570158,25.920000,0.242614,100.000,648,0.001846,13.216365,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,narrow,2,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,649,0.358293,0.290496,0.861963,0.570158,25.920000,0.242614,100.000,648,0.001846,13.082112,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,narrow,3,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,649,0.358293,0.290496,0.861963,0.570158,25.920000,0.242614,100.000,648,0.001846,13.003787,occupancy_grid_checked
lqr_pt_2602_hotel,narrow,1,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,435,0.065296,0.038412,0.213101,0.170124,17.360000,0.237160,100.000,22,0.049605,2763.222269,occupancy_grid_checked
lqr_pt_2602_hotel,narrow,2,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,435,0.065296,0.038412,0.213101,0.170124,17.360000,0.237160,100.000,22,0.049605,2763.465940,occupancy_grid_checked
lqr_pt_2602_hotel,narrow,3,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,435,0.065296,0.038412,0.213101,0.170124,17.360000,0.237160,100.000,22,0.049605,2773.406067,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,336,0.272169,0.169619,0.865556,0.344863,13.400000,0.238263,100.000,335,0.001461,7.563628,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,straight_open,2,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,336,0.272169,0.169619,0.865556,0.344863,13.400000,0.238263,100.000,335,0.001461,7.362551,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,straight_open,3,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,336,0.272169,0.169619,0.865556,0.344863,13.400000,0.238263,100.000,335,0.001461,7.333074,occupancy_grid_checked
lqr_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,269,0.056855,0.035384,0.204077,0.097990,10.720000,0.236801,100.000,3,0.019145,2814.104223,occupancy_grid_checked
lqr_pt_2602_hotel,straight_open,2,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,269,0.056855,0.035384,0.204077,0.097990,10.720000,0.236801,100.000,3,0.019145,2801.502141,occupancy_grid_checked
lqr_pt_2602_hotel,straight_open,3,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,269,0.056855,0.035384,0.204077,0.097990,10.720000,0.236801,100.000,3,0.019145,2794.712520,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_obstacle,1,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,128,0.457987,0.441493,0.666284,0.435044,5.080000,5.500029,39.726,128,0.002980,16.463766,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_obstacle,2,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,128,0.457987,0.441493,0.666284,0.435044,5.080000,5.500029,39.726,128,0.002980,16.579273,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_obstacle,3,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,128,0.457987,0.441493,0.666284,0.435044,5.080000,5.500029,39.726,128,0.002980,16.329312,occupancy_grid_checked
lqr_pt_2602_hotel,curves_obstacle,1,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,95,0.153352,0.135176,0.222989,0.267329,3.760000,5.436716,26.712,16,0.317072,2810.887611,occupancy_grid_checked
lqr_pt_2602_hotel,curves_obstacle,2,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,95,0.153352,0.135176,0.222989,0.267329,3.760000,5.436716,26.712,16,0.317072,2813.725242,occupancy_grid_checked
lqr_pt_2602_hotel,curves_obstacle,3,1,offline_kinematic_simulation,offline,0,inflated_grid_collision,95,0.153352,0.135176,0.222989,0.267329,3.760000,5.436716,26.712,16,0.317072,2818.657305,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_orientation,1,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,359,0.244511,0.155368,0.804111,0.302330,14.320000,0.243302,100.000,358,0.001375,6.957499,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_orientation,2,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,359,0.244511,0.155368,0.804111,0.302330,14.320000,0.243302,100.000,358,0.001375,6.882557,occupancy_grid_checked
pure_pursuit_pt_2602_hotel,curves_orientation,3,1,offline_kinematic_simulation,offline,1,goal_tolerance_reached,359,0.244511,0.155368,0.804111,0.302330,14.320000,0.243302,100.000,358,0.001375,6.927267,occupancy_grid_checked
