method,scenario,trial,run_id,execution_mode,environment,timestamp_s,x_robot,y_robot,yaw_robot,x_reference,y_reference,yaw_reference,reference_index,cross_track_error,heading_error,linear_velocity_command,angular_velocity_command,distance_to_goal,saturated_v,saturated_omega
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.000000,3.123000,2.549000,1.670796,3.223000,3.749000,1.570796,24,0.100000,0.100000,0.338613,-0.052882,5.423099,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.040000,3.121648,2.562477,1.668681,3.223000,3.749000,1.570796,24,0.101352,0.097885,0.339562,-0.078872,5.409555,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.080000,3.120320,2.575994,1.665526,3.223000,3.799000,1.570796,25,0.102680,0.094730,0.339149,-0.092064,5.395972,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.120000,3.119037,2.589499,1.661844,3.223000,3.799000,1.570796,25,0.103963,0.091047,0.340844,-0.097854,5.382406,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.160000,3.117798,2.603077,1.657929,3.223000,3.799000,1.570796,25,0.105202,0.087133,0.342645,-0.099895,5.368773,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.200000,3.116605,2.616731,1.653934,3.223000,3.799000,1.570796,25,0.106395,0.083137,0.344482,-0.100043,5.355067,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.240000,3.115461,2.630462,1.649932,3.223000,3.849000,1.570796,26,0.107539,0.079136,0.344749,-0.099990,5.341288,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.280000,3.114371,2.644209,1.645932,3.223000,3.849000,1.570796,26,0.108629,0.075136,0.346649,-0.099062,5.327500,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.320000,3.113330,2.658036,1.641970,3.223000,3.849000,1.570796,26,0.109670,0.071174,0.348532,-0.097703,5.313636,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.360000,3.112338,2.671942,1.638062,3.223000,3.899000,1.570796,27,0.110662,0.067265,0.349018,-0.096794,5.299698,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.400000,3.111400,2.685871,1.634190,3.223000,3.899000,1.570796,27,0.111600,0.063394,0.350920,-0.095436,5.285741,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.440000,3.110511,2.699880,1.630373,3.223000,3.899000,1.570796,27,0.112489,0.059576,0.352795,-0.093867,5.271710,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.480000,3.109670,2.713966,1.626618,3.223000,3.899000,1.570796,27,0.113330,0.055822,0.354637,-0.092208,5.257606,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.520000,3.108879,2.728130,1.622930,3.223000,3.949000,1.570796,28,0.114121,0.052133,0.355344,-0.091042,5.243431,0,1
pure_pursuit_pt_2602_hotel,straight_open,1,1,offline_kinematic_simulation,offline,0.560000,3.108138,2.742324,1.619288,3.223000,3.949000,1.570796,28,0.114862,0.048492,0.357192,-0.089582,5.229229,0,1
